"filename", "language", "TypeScript", "TypeScript JSX", "CSS", "JavaScript", "JSON with Comments", "JSON", "XML", "Markdown", "comment", "blank", "total"
"/Users/vector/Desktop/rent-a-buddy-client/src/components/Navbar/Navbar.tsx", "TypeScript JSX", 0, 230, 0, 0, 0, 0, 0, 0, 31, 35, 296
"/Users/vector/Desktop/rent-a-buddy-client/src/components/Providers.tsx", "TypeScript JSX", 0, 11, 0, 0, 0, 0, 0, 0, 0, 3, 14
"/Users/vector/Desktop/rent-a-buddy-client/src/components/ui/Input.tsx", "TypeScript JSX", 0, 38, 0, 0, 0, 0, 0, 0, 3, 6, 47
"/Users/vector/Desktop/rent-a-buddy-client/src/components/ui/Label.tsx", "TypeScript JSX", 0, 9, 0, 0, 0, 0, 0, 0, 0, 3, 12
"/Users/vector/Desktop/rent-a-buddy-client/src/components/ui/button.tsx", "TypeScript JSX", 0, 54, 0, 0, 0, 0, 0, 0, 0, 6, 60
"/Users/vector/Desktop/rent-a-buddy-client/src/components/ui/card.tsx", "TypeScript JSX", 0, 83, 0, 0, 0, 0, 0, 0, 0, 10, 93
"/Users/vector/Desktop/rent-a-buddy-client/src/components/ui/carousel.tsx", "TypeScript JSX", 0, 232, 0, 0, 0, 0, 0, 0, 0, 30, 262
"/Users/vector/Desktop/rent-a-buddy-client/src/data/dashboard.tsx", "TypeScript JSX", 0, 44, 0, 0, 0, 0, 0, 0, 0, 3, 47
"/Users/vector/Desktop/rent-a-buddy-client/src/data/filter.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/vector/Desktop/rent-a-buddy-client/src/lib/utils.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"/Users/vector/Desktop/rent-a-buddy-client/src/loading/FullScreen.tsx", "TypeScript JSX", 0, 62, 0, 0, 0, 0, 0, 0, 5, 6, 73
"/Users/vector/Desktop/rent-a-buddy-client/src/loading/Loading1.tsx", "TypeScript JSX", 0, 62, 0, 0, 0, 0, 0, 0, 5, 6, 73
"/Users/vector/Desktop/rent-a-buddy-client/src/loading/PageLoadingSpinner.tsx", "TypeScript JSX", 0, 56, 0, 0, 0, 0, 0, 0, 4, 5, 65
"/Users/vector/Desktop/rent-a-buddy-client/src/redux/provider.tsx", "TypeScript JSX", 0, 7, 0, 0, 0, 0, 0, 0, 0, 3, 10
"/Users/vector/Desktop/rent-a-buddy-client/src/redux/slice/auth.slice.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 13, 9, 22
"/Users/vector/Desktop/rent-a-buddy-client/src/redux/slice/chat.slice.ts", "TypeScript", 32, 0, 0, 0, 0, 0, 0, 0, 4, 7, 43
"/Users/vector/Desktop/rent-a-buddy-client/src/redux/slice/event.slice.ts", "TypeScript", 33, 0, 0, 0, 0, 0, 0, 0, 4, 6, 43
"/Users/vector/Desktop/rent-a-buddy-client/src/redux/store.ts", "TypeScript", 11, 0, 0, 0, 0, 0, 0, 0, 1, 3, 15
"/Users/vector/Desktop/rent-a-buddy-client/src/service/api.ts", "TypeScript", 52, 0, 0, 0, 0, 0, 0, 0, 16, 13, 81
"/Users/vector/Desktop/rent-a-buddy-client/src/service/apiCall/category.api.ts", "TypeScript", 11, 0, 0, 0, 0, 0, 0, 0, 2, 2, 15
"/Users/vector/Desktop/rent-a-buddy-client/src/service/apiCall/chat.api.ts", "TypeScript", 89, 0, 0, 0, 0, 0, 0, 0, 9, 7, 105
"/Users/vector/Desktop/rent-a-buddy-client/src/service/apiCall/event.api.ts", "TypeScript", 153, 0, 0, 0, 0, 0, 0, 0, 23, 14, 190
"/Users/vector/Desktop/rent-a-buddy-client/src/service/apiCall/payment.api.ts", "TypeScript", 136, 0, 0, 0, 0, 0, 0, 0, 13, 17, 166
"/Users/vector/Desktop/rent-a-buddy-client/src/service/apiCall/user.api.ts", "TypeScript", 90, 0, 0, 0, 0, 0, 0, 0, 7, 13, 110
"/Users/vector/Desktop/rent-a-buddy-client/src/service/apiCall/wallet.api.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 0, 0, 2, 3, 22
"/Users/vector/Desktop/rent-a-buddy-client/src/service/apiConnector.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 0, 0, 11, 5, 28
"/Users/vector/Desktop/rent-a-buddy-client/src/styles/globals.css", "CSS", 0, 0, 66, 0, 0, 0, 0, 0, 29, 13, 108
"/Users/vector/Desktop/rent-a-buddy-client/src/types/next-auth.d.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 0, 1, 5, 24
"/Users/vector/Desktop/rent-a-buddy-client/src/utills/nextauthoption.utills.ts", "TypeScript", 52, 0, 0, 0, 0, 0, 0, 0, 4, 14, 70
"/Users/vector/Desktop/rent-a-buddy-client/tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 27, 0, 0, 0, 0, 1, 28
"Total", "-", 743, 5560, 196, 16, 27, 6417, 5, 23, 666, 930, 14583
